condition,metric,direction,practical_threshold,replicates,n,reference_mean,condition_mean,raw_delta_mean,raw_delta_median,raw_delta_ci95_low,raw_delta_ci95_high,benefit_mean,benefit_median,benefit_ci95_low,benefit_ci95_high,classification,practical_wins,practical_ties,practical_losses,condition_to_reference_ratio,size_interpretation
dense_no_residual,ncc_after,1,0.005,1,16,0.5333500150591135,0.5156585033982992,-0.017691511660814285,-0.015906453132629395,-0.022421078523620963,-0.013282168237492443,-0.017691511660814285,-0.015906453132629395,-0.022488598292693496,-0.013331246143206956,meaningful_harm,0,0,16,0.9668294531521604,
dense_no_residual,dice_after,1,0.01,1,15,0.5943615802059627,0.5948166580380636,0.0004550778321008993,-0.0050138075274481775,-0.01217162697950586,0.020121343127672428,0.0004550778321008993,-0.0050138075274481775,-0.012000965819798674,0.02000195258674057,inconclusive_or_mixed,1,10,4,1.0007656582243138,
dense_no_residual,dice_label_1,1,0.01,1,12,0.5145807360354756,0.5019921506439817,-0.012588585391493759,-0.012666019452932276,-0.02118435981779159,-0.004317271429114023,-0.012588585391493759,-0.012666019452932276,-0.021180895009300482,-0.004260945822406891,meaningful_harm,1,4,7,0.9755362287976789,
dense_no_residual,dice_label_2,1,0.01,1,13,0.6718905953913041,0.6765683535834606,0.004677758192156344,-0.0012004920049201173,-0.009777020159928767,0.026897829747039786,0.004677758192156344,-0.0012004920049201173,-0.009951275547420192,0.02647177516702826,inconclusive_or_mixed,1,9,3,1.0069620831490165,
dense_no_residual,hd95_after_mm,-1,1.5,1,15,8.476718513762489,8.73610591731092,0.25938740354843265,0.07695167023755367,-0.1691712578887688,0.6438317612490413,-0.25938740354843265,-0.07695167023755367,-0.6455256784815718,0.16168795138346498,practical_equivalence,1,14,0,1.0305999784146778,
dense_no_residual,assd_after_mm,-1,0.5,1,15,2.240134311065376,2.3076231923651744,0.06748888129979788,0.06973660453965747,-0.08095472100909591,0.17554700207523175,-0.06748888129979788,-0.06973660453965747,-0.1736206106601439,0.08008336840621422,practical_equivalence,1,14,0,1.0301271584326128,
dense_no_residual,negative_jacobian_ratio,-1,0.001,1,16,0.0044694899588648695,0.014855212735710666,0.010385722776845796,0.0021833801874890924,0.0016954184480709954,0.02572014176139419,-0.010385722776845796,-0.0021833801874890924,-0.025807822649221632,-0.0017038860827597092,meaningful_harm,0,6,10,3.3236930550087846,
dense_no_residual,below_safe_jacobian_ratio,-1,0.01,1,16,0.17194583779200912,0.25747495144605637,0.08552911365404725,0.06815201044082642,0.056623759213835,0.11852752304403111,-0.08552911365404725,-0.06815201044082642,-0.11882184454007073,-0.0571438200888224,meaningful_harm,0,0,16,1.4974189241934768,
dense_no_residual,minimum_jacobian,1,0.1,1,16,-4.485636368393898,-5.760903581976891,-1.2752672135829926,-0.9198006987571716,-3.122350819595158,0.4730112601071595,-1.2752672135829926,-0.9198006987571716,-3.0951818747445943,0.3962221980094901,inconclusive_or_mixed,3,1,12,1.2843001770202804,
dense_no_residual,mean_displacement_mm,,0.75,1,16,6.854046031832695,6.423297941684723,-0.4307480901479721,-0.8292262554168701,-1.5358944308012723,0.6671930786222217,,,,,,,,,0.9371541877385385,uncertain
dense_no_residual,p95_displacement_mm,,1.5,1,16,17.596948862075806,15.997545778751373,-1.5994030833244324,-3.23382568359375,-5.431286355108023,2.4369897499680504,,,,,,,,,0.9091090679491944,uncertain
gate_0,ncc_after,1,0.005,1,16,0.5333500150591135,0.5131565798074007,-0.0201934352517128,-0.021236002445220947,-0.024564051255583762,-0.015770368929952386,-0.0201934352517128,-0.021236002445220947,-0.024614127445966007,-0.01567622399888933,meaningful_harm,0,0,16,0.9621384931441791,
gate_0,dice_after,1,0.01,1,15,0.5943615802059627,0.5938244762012072,-0.0005371040047556841,-0.0070181512415112834,-0.007405297384671747,0.007975815053437101,-0.0005371040047556841,-0.0070181512415112834,-0.00719656989936998,0.007727766420097779,practical_equivalence,2,10,3,0.9990963345837908,
gate_0,dice_label_1,1,0.01,1,12,0.5145807360354756,0.5115300472393061,-0.003050688796169485,-0.0018612575586451768,-0.009062107901027823,0.002435465008679744,-0.003050688796169485,-0.0018612575586451768,-0.00908505149696137,0.0024196841446121817,practical_equivalence,1,9,2,0.9940715060193018,
gate_0,dice_label_2,1,0.01,1,13,0.6718905953913041,0.6690839475726478,-0.0028066478186562363,-0.006014598540146077,-0.011663309435038592,0.0078917782666292,-0.0028066478186562363,-0.006014598540146077,-0.01195513564662969,0.007743175475101621,inconclusive_or_mixed,2,6,5,0.9958227606727822,
gate_0,hd95_after_mm,-1,1.5,1,15,8.476718513762489,8.650207445868485,0.17348893210599706,0.200961894323342,-0.3117072088617869,0.6823423231523775,-0.17348893210599706,-0.200961894323342,-0.6783611125918032,0.31362195656243613,practical_equivalence,2,12,1,1.0204665203668526,
gate_0,assd_after_mm,-1,0.5,1,15,2.240134311065376,2.249696384685656,0.00956207362028009,0.04954773007357871,-0.11150697159674063,0.10290426459877636,-0.00956207362028009,-0.04954773007357871,-0.10202153622543093,0.11025544733514044,practical_equivalence,1,14,0,1.004268526924054,
gate_0,negative_jacobian_ratio,-1,0.001,1,16,0.0044694899588648695,0.018445987487211823,0.013976497528346954,0.006819457601523027,0.0061409051781993185,0.026362175437316167,-0.013976497528346954,-0.006819457601523027,-0.026294819314716732,-0.0061140092140703935,meaningful_harm,0,0,16,4.127090038680075,
gate_0,below_safe_jacobian_ratio,-1,0.01,1,16,0.17194583779200912,0.2898388793691993,0.11789304157719016,0.10991805791854858,0.09792034301208333,0.14249559404561293,-0.11789304157719016,-0.10991805791854858,-0.14276514966040849,-0.0979263977962546,meaningful_harm,0,0,16,1.6856405661868776,
gate_0,minimum_jacobian,1,0.1,1,16,-4.485636368393898,-6.578568249940872,-2.092931881546974,-1.7919930815696716,-3.6553590621799232,-0.7713111117482185,-2.092931881546974,-1.7919930815696716,-3.626537856273353,-0.7493955871090293,meaningful_harm,2,1,13,1.4665852756799271,
gate_0,mean_displacement_mm,,0.75,1,16,6.854046031832695,8.32051733136177,1.4664712995290756,1.541999340057373,0.7840392913669347,2.119967486336827,,,,,,,,,1.2139570251962486,larger
gate_0,p95_displacement_mm,,1.5,1,16,17.596948862075806,21.400647342205048,3.803698480129242,3.0099172592163086,1.8604907527565957,5.794281873106956,,,,,,,,,1.2161567047754973,larger
gate_025,ncc_after,1,0.005,1,16,0.5333500150591135,0.5221753101795912,-0.011174704879522324,-0.01225954294204712,-0.013654753658920526,-0.008620958868414165,-0.011174704879522324,-0.01225954294204712,-0.013694851472973824,-0.00865888996049762,meaningful_harm,0,3,13,0.9790480836898753,
gate_025,dice_after,1,0.01,1,15,0.5943615802059627,0.5955479649751403,0.001186384769177599,-0.002095635787865535,-0.003962826233986733,0.006796321002881219,0.001186384769177599,-0.002095635787865535,-0.003962108617546054,0.006781395099483282,practical_equivalence,4,10,1,1.0019960657093052,
gate_025,dice_label_1,1,0.01,1,12,0.5145807360354756,0.5128430452139042,-0.0017376908215713642,-0.0007609906565619745,-0.007083506643087041,0.003373489069361851,-0.0017376908215713642,-0.0007609906565619745,-0.00709111057017277,0.0033785228964156077,practical_equivalence,2,8,2,0.9966230939095015,
gate_025,dice_label_2,1,0.01,1,13,0.6718905953913041,0.6735164899481347,0.0016258945568307392,-0.002095635787865535,-0.004372492678699582,0.008213641672225677,0.0016258945568307392,-0.002095635787865535,-0.00445636510917089,0.008251410015862137,practical_equivalence,3,8,2,1.002419879914949,
gate_025,hd95_after_mm,-1,1.5,1,15,8.476718513762489,8.430839019151952,-0.04587949461053634,0.04473909092190098,-0.3286144872204066,0.20955085093700157,0.04587949461053634,-0.04473909092190098,-0.21091731220211116,0.3261690986868707,practical_equivalence,0,15,0,0.9945875878105368,
gate_025,assd_after_mm,-1,0.5,1,15,2.240134311065376,2.2324474393408686,-0.0076868717245075265,0.016595610298191676,-0.0857218321778215,0.054919369988598206,0.0076868717245075265,-0.016595610298191676,-0.05557997369546977,0.08327317666107295,practical_equivalence,0,15,0,0.9965685665870402,
gate_025,negative_jacobian_ratio,-1,0.001,1,16,0.0044694899588648695,0.010324210787075572,0.005854720828210702,0.0010279843118041754,0.0012734928395730094,0.013828544900570705,-0.005854720828210702,-0.0010279843118041754,-0.013806554755410616,-0.00127778564738037,meaningful_harm,0,8,8,2.3099304131108607,
gate_025,below_safe_jacobian_ratio,-1,0.01,1,16,0.17194583779200912,0.24431210849434137,0.07236627070233226,0.06657668948173523,0.05632363217882812,0.0942053305916488,-0.07236627070233226,-0.06657668948173523,-0.09455036589642987,-0.05644877691520379,meaningful_harm,0,0,16,1.420866661453409,
gate_025,minimum_jacobian,1,0.1,1,16,-4.485636368393898,-6.544016569852829,-2.058380201458931,-1.1033914685249329,-3.7419188439846036,-0.5274818368256097,-2.058380201458931,-1.1033914685249329,-3.7212932135909798,-0.5269051449373368,meaningful_harm,5,1,10,1.4588825380412953,
gate_025,mean_displacement_mm,,0.75,1,16,6.854046031832695,7.666213244199753,0.8121672123670578,0.7351770401000977,0.29610736668109894,1.3302347667515277,,,,,,,,,1.118494566361979,larger
gate_025,p95_displacement_mm,,1.5,1,16,17.596948862075806,19.681423723697662,2.0844748616218567,1.3985557556152344,0.6792870029807091,3.55495775938034,,,,,,,,,1.118456607333458,larger
gate_05,ncc_after,1,0.005,1,16,0.5333500150591135,0.5288779214024544,-0.004472093656659126,-0.0048864781856536865,-0.005560565181076527,-0.0033776836469769484,-0.004472093656659126,-0.0048864781856536865,-0.005576765350997448,-0.0033933059312403215,inconclusive_or_mixed,0,9,7,0.9916150866590611,
gate_05,dice_after,1,0.01,1,15,0.5943615802059627,0.5934740128016068,-0.0008875674043559934,-0.0008403539157861295,-0.004998237796571575,0.0032331487273798243,-0.0008875674043559934,-0.0008403539157861295,-0.004934146463859718,0.0033285940152813064,practical_equivalence,1,13,1,0.9985066877908758,
gate_05,dice_label_1,1,0.01,1,12,0.5145807360354756,0.5144802271656955,-0.00010050886978004055,-0.0019827502443497645,-0.0036325569834734757,0.0038994073206268308,-0.00010050886978004055,-0.0019827502443497645,-0.0035999826936296475,0.0038232620400676974,practical_equivalence,1,11,0,0.999804678133592,
gate_05,dice_label_2,1,0.01,1,13,0.6718905953913041,0.6713047841140856,-0.000585811277218492,-0.002122732205881106,-0.005465747956428679,0.004580443193707132,-0.000585811277218492,-0.002122732205881106,-0.005376227643987761,0.004786988726167061,practical_equivalence,2,9,2,0.9991281150811802,
gate_05,hd95_after_mm,-1,1.5,1,15,8.476718513762489,8.46482989007749,-0.011888623684998894,0.0,-0.172324698844018,0.13977958291649736,0.011888623684998894,0.0,-0.14000227295376022,0.1753832165525716,practical_equivalence,0,15,0,0.9985974969363798,
gate_05,assd_after_mm,-1,0.5,1,15,2.240134311065376,2.2546585147348424,0.014524203669466326,0.009563324413923158,-0.02508626653679937,0.05484257177119824,-0.014524203669466326,-0.009563324413923158,-0.05569555103905151,0.023841326841011472,practical_equivalence,0,15,0,1.0064836307348728,
gate_05,negative_jacobian_ratio,-1,0.001,1,16,0.0044694899588648695,0.005070857900136616,0.0006013679412717465,0.00023391726426780224,0.00019342342366144294,0.0011430616351390198,-0.0006013679412717465,-0.00023391726426780224,-0.0011358465616467584,-0.00019284967129351574,inconclusive_or_mixed,0,14,2,1.1345495675807442,
gate_05,below_safe_jacobian_ratio,-1,0.01,1,16,0.17194583779200912,0.20644845394417644,0.03450261615216732,0.028546899557113647,0.023017150338273496,0.05211572434054687,-0.03450261615216732,-0.028546899557113647,-0.05169705933658406,-0.02304022440221161,meaningful_harm,0,0,16,1.2006597926138969,
gate_05,minimum_jacobian,1,0.1,1,16,-4.485636368393898,-5.000462502241135,-0.5148261338472366,-0.19660884141921997,-1.9103887259960173,0.8590816609561441,-0.5148261338472366,-0.19660884141921997,-1.948443202674389,0.8423502236604684,inconclusive_or_mixed,6,1,9,1.1147721508312036,
gate_05,mean_displacement_mm,,0.75,1,16,6.854046031832695,7.181346192955971,0.32730016112327576,0.14565658569335938,-0.006302868947386735,0.6635594580322504,,,,,,,,,1.0477528396516707,uncertain
gate_05,p95_displacement_mm,,1.5,1,16,17.596948862075806,18.371503829956055,0.774554967880249,0.3119325637817383,-0.0997986868023872,1.6606513574719428,,,,,,,,,1.044016435687299,uncertain
